,comment,TOXICITY,TOXICITY_bin
0,thumbs downthumbs downthumbs downthumbs downthumbs downthumbs down,0.2403527,0.0
1,Best day!!!! raising hands medium-light skin tone And end to all his pile of poo,0.74521154,1.0
2,face vomitingnauseated face,0.5468037,1.0
3,"Caitlyn You're the ugliest man/woman alive. Theres nothing feminine, or attractive about you.pig face",0.94858956,1.0
4,My god his legs look disgusting nauseated face,0.8814932,1.0
5,skullnauseated facenauseated facenauseated facenauseated face,0.43792126,0.0
6,Your just like them another stuck up bitch middle finger light skin tone,0.9010773,1.0
7,I just had a stroke raised fist dark skin tone I cannot wait for you to come to my uncles basement eggplanthorse facerainbow flag #horsemask #transgender #bigblokes,0.7365633,1.0
8,Not all woman “take long” to get ready... thumbs down medium skin tone I don’t like how real woman are being misrepresented by the agenda #sorrynotsorry,0.3535706,0.0
9,Oh my God I just saw a comment that said this man looks 20skull yeah i guess 20 minutes away from kicking the bucket face with tears of joy,0.4583858,0.0
10,"I hate you, you’re so disgusting nauseated face why would you do something like that ewww you literally have no brain changing your gender how dumb are you. Freak + worthless twat = you face vomitingface vomiting",0.96305376,1.0
11,"@caitlynjenner it’s a good to see you I’m the British press but honestly the @dailymail are a super bad paper/magazine/online account. They totally dislike our community, step away from them pleasemiddle finger light skin toneleft-facing fist light skin tonesparkling heart xx",0.33759913,0.0
12,thumbs upthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downthumbs downYu still like like a man and yu still are a man man,0.44841635,0.0
13,FUCK HIM/HER... yes I said it skull and crossbones he’s \ she’s too old for that shit. “THOSE KARDASHIAN RELATIVES” you mean your “DAUGHTERS “,0.9816475,1.0
14,face with rolling eyesmiddle finger,0.32444492,0.0
15,The only way you can get in magazines or is if you talk about the Kardashian’s nauseated face is a shame you use them for fame and publicity,0.4462057,0.0
16,middle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tonemiddle finger light skin tone,0.26681212,0.0
17,face with medical maskface with medical maskogrebabybabybabyman white hairman white hairmiddle fingermiddle finger,0.060724605,0.0
18,cailyn looks nauseated face,0.5876557,1.0
19,He’s a muaddddd ting eggplant,0.40039754,0.0
20,thumbs down,0.12819657,0.0
21,U r such a gay motherfuckerworried facemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin toneflexed biceps medium-light skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tonemiddle finger dark skin tone,0.9796265,1.0
22,confounded faceface vomitingface vomitingface vomitingface vomitingface vomitingpile of poo,0.8355208,1.0
